Component;Path;Div Count;Ghosts Detected;Action Priority
TownSelectorModal;components/modals/TownSelectorModal.jsx;17;bootstrapLegacy (1x) | divSoup (4x) | dangerousScroll (1x);Mitja
AccessibilitatUniversal;components/ui/AccessibilitatUniversal.jsx;17;bootstrapLegacy (9x) | divSoup (4x);Mitja
AulaRural;pages/admin/AulaRural.jsx;17;divSoup (5x);Mitja
SocialManager;components/features/SocialManager.jsx;15;divSoup (2x);Mitja
InfografiaGallery;components/features/infoteca/InfografiaGallery.jsx;15;divSoup (2x);Mitja
RichTextEditor;components/ui/RichTextEditor.jsx;15;bootstrapLegacy (12x) | divSoup (2x) | hardcodedColors (1x) | dangerousScroll (4x);Mitja
DesignCanon;pages/admin/DesignCanon.jsx;15;divSoup (4x);Mitja
MenuManagementView;pages/admin/MenuManagementView.jsx;15;divSoup (5x) | dangerousScroll (1x);Mitja
HubView;pages/features/HubView.jsx;15;bootstrapLegacy (6x) | hardcodedColors (4x);Mitja
CategoryManager;components/features/CategoryManager.jsx;14;divSoup (3x) | hardcodedColors (3x) | dangerousScroll (2x);Mitja
NotebookSidebar;components/layout/NotebookSidebar.jsx;14;divSoup (4x) | hardcodedColors (6x) | dangerousScroll (2x);Mitja
DidacticPage;pages/admin/DidacticPage.jsx;14;divSoup (3x);Mitja
PlaygroundPortal;pages/admin/PlaygroundPortal.jsx;14;divSoup (3x);Mitja
Utilitats;pages/admin/Utilitats.jsx;14;bootstrapLegacy (2x) | divSoup (3x) | hardcodedColors (3x) | dangerousScroll (1x);Mitja
UniversalPageContent;pages/public/components/UniversalPageContent.jsx;14;bootstrapLegacy (2x) | divSoup (2x) | hardcodedColors (4x);Mitja
SpriteConsole;components/SpriteConsole.jsx;13;divSoup (3x);Mitja
ContentWithShortcodes;components/core/ContentWithShortcodes.jsx;13;divSoup (2x) | hardcodedColors (3x);Mitja
CartManager;components/features/CartManager.jsx;13;divSoup (3x);Mitja
VisorMetricPage;pages/features/VisorMetricPage.jsx;13;bootstrapLegacy (3x) | divSoup (5x) | dangerousScroll (3x);Mitja
TimelineScroll;pages/features/anima-del-mas/TimelineScroll.jsx;13;bootstrapLegacy (1x) | divSoup (3x) | dangerousScroll (1x);Mitja
CreationHub;components/features/CreationHub.jsx;12;divSoup (2x) | hardcodedColors (2x);Mitja
Feed;components/features/Feed.jsx;12;divSoup (1x) | hardcodedColors (4x) | dangerousScroll (2x);Mitja
MagicPregoner;components/features/MagicPregoner.jsx;12;bootstrapLegacy (1x) | divSoup (4x) | hardcodedColors (10x) | dangerousScroll (2x);Mitja
HistoryModal;components/modals/HistoryModal.jsx;12;bootstrapLegacy (3x) | divSoup (2x) | dangerousScroll (1x);Mitja
LegalDocsModal;components/modals/LegalDocsModal.jsx;12;divSoup (2x);Mitja
MarketSkeleton;components/ui/skeletons/MarketSkeleton.jsx;12;divSoup (6x);Mitja
IAIACorrectorOverlay;components/features/IAIACorrectorOverlay.jsx;11;bootstrapLegacy (1x) | divSoup (4x);Mitja
ControlGeneral;pages/admin/ControlGeneral.jsx;11;divSoup (1x) | hardcodedColors (10x) | dangerousScroll (1x);Mitja
GlobalAssetAlbum;pages/features/GlobalAssetAlbum.jsx;11;divSoup (2x) | hardcodedColors (2x) | dangerousScroll (2x);Mitja
AdvancedDataGrid;components/ui/AdvancedDataGrid.jsx;10;divSoup (2x);Mitja
